,eventTimeStart,eventTimeEnd,latStart,lonStart,latEnd,lonEnd
266,2017-05-24 13:21:24,2017-05-24 13:21:24,47.409291,8.546942,47.423743,8.555213
132,2017-05-24 13:21:28,2017-05-24 13:21:30,47.409291,8.546942,47.423743,8.555213
455,2017-05-24 13:21:41,2017-05-24 13:21:42,47.409291,8.546942,47.423743,8.555213
1425,2017-05-24 13:21:48,2017-05-24 13:21:48,47.409291,8.546942,47.423743,8.555213
298,2017-05-24 13:21:58,2017-05-24 13:21:59,47.409291,8.546942,47.423743,8.555213
1106,2017-05-24 13:22:06,2017-05-24 13:22:06,47.409291,8.546942,47.423743,8.555213
1187,2017-05-24 13:22:11,2017-05-24 13:22:13,47.409291,8.546942,47.423743,8.555213
796,2017-05-24 13:22:30,2017-05-24 13:22:32,47.409291,8.546942,47.423743,8.555213
186,2017-05-24 13:22:41,2017-05-24 13:22:42,47.409291,8.546942,47.423743,8.555213
1158,2017-05-24 13:22:45,2017-05-24 13:22:45,47.409291,8.546942,47.423743,8.555213
11,2017-05-24 13:22:57,2017-05-24 13:22:58,47.409291,8.546942,47.423743,8.555213
12,2017-05-24 13:23:03,2017-05-24 13:23:05,47.409291,8.546942,47.423743,8.555213
1036,2017-05-24 13:23:07,2017-05-24 13:23:09,47.409291,8.546942,47.423743,8.555213
732,2017-05-24 13:23:24,2017-05-24 13:23:25,47.409291,8.546942,47.423743,8.555213
1267,2017-05-24 13:23:35,2017-05-24 13:23:41,47.409291,8.546942,47.423743,8.555213
836,2017-05-24 13:23:46,2017-05-24 13:23:54,47.409291,8.546942,47.423743,8.555213
1486,2017-05-24 13:23:55,2017-05-24 13:23:55,47.409291,8.546942,47.423743,8.555213
79,2017-05-24 13:24:01,2017-05-24 13:24:01,47.409291,8.546942,47.423743,8.555213
1021,2017-05-24 13:24:05,2017-05-24 13:24:06,47.409291,8.546942,47.423743,8.555213
763,2017-05-24 13:24:07,2017-05-24 13:24:07,47.409291,8.546942,47.423743,8.555213
786,2017-05-24 13:24:08,2017-05-24 13:24:11,47.409291,8.546942,47.423743,8.555213
1063,2017-05-24 13:24:15,2017-05-24 13:24:16,47.409291,8.546942,47.423743,8.555213
1399,2017-05-24 13:24:17,2017-05-24 13:24:17,47.409291,8.546942,47.423743,8.555213
28,2017-05-24 13:24:30,2017-05-24 13:24:30,47.409291,8.546942,47.423743,8.555213
1228,2017-05-24 13:24:34,2017-05-24 13:24:34,47.409291,8.546942,47.423743,8.555213
596,2017-05-24 13:24:41,2017-05-24 13:24:43,47.409291,8.546942,47.423743,8.555213
235,2017-05-24 13:24:49,2017-05-24 13:24:52,47.409291,8.546942,47.423743,8.555213
322,2017-05-24 13:24:57,2017-05-24 13:24:58,47.409291,8.546942,47.423743,8.555213
240,2017-05-24 13:25:03,2017-05-24 13:25:05,47.409291,8.546942,47.423743,8.555213
1175,2017-05-24 13:25:10,2017-05-24 13:25:10,47.409291,8.546942,47.423743,8.555213
